DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES23,2023,36400,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES24,2023,39000,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES3,2023,47900,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES30,2023,47900,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES4,2023,29900,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES41,2023,32900,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES42,2023,28200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES43,2023,26800,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES5,2023,36100,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES51,2023,40000,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES52,2023,29800,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES53,2023,38200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES6,2023,26400,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES61,2023,26000,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES62,2023,28700,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES63,2023,25200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES64,2023,23000,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES7,2023,27200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,ES70,2023,27200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,EU27_2020,2023,38400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,FI,2023,39700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,FI1,2023,39600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,FI19,2023,36000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,FI1B,2023,50400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,FI1C,2023,34300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,FI1D,2023,33700,,
