fid,NUTS_ID,CNTR_CODE,NAME_LATN,gdp_pps_2023,ntl_count,ntl_sum,ntl_mean
"237",ES11,ES,Galicia,"32200",46001,593644,12.9050238038304
"238",ES12,ES,Principado de Asturias,"31600",16752,181983,10.8633595988539
"239",BG32,BG,Severen tsentralen,"16700",23550,182671,7.75673036093418
"240",BG33,BG,Severoiztochen,"19000",23648,175193,7.40836434370771
"241",BG34,BG,Yugoiztochen,"20700",31847,227343,7.13860018212076
"242",BG41,BG,Yugozapaden,"38800",32167,260647,8.10293157583859
"243",BG42,BG,Yuzhen tsentralen,"15700",35142,237570,6.7602868362643
"244",CH01,CH,Région lémanique,,14688,139579,9.50292755991285
"245",CH02,CH,Espace Mittelland,,17276,140196,8.11507293354943
"246",CH03,CH,Nordwestschweiz,,3327,60590,18.2116020438834
"247",CH04,CH,Zürich,,3060,55374,18.0960784313726
"248",CH05,CH,Ostschweiz,,19210,90756,4.72441436751692
"249",CH06,CH,Zentralschweiz,,7410,59164,7.98434547908232
"250",CH07,CH,Ticino,,4744,44512,9.38279932546374
"251",CY00,CY,Kýpros,"37400",12970,220722,17.0178874325366
"252",CZ01,CZ,Praha,"75700",879,50822,57.8179749715586
"253",CZ02,CZ,Střední Čechy,"31500",19659,240175,12.2170507146854
"254",CZ03,CZ,Jihozápad,"29400",32040,223628,6.97965043695381
"255",CZ04,CZ,Severozápad,"23800",15848,185150,11.6828621908127
"256",CZ05,CZ,Severovýchod,"28400",22504,219627,9.75946498400284
"257",CZ06,CZ,Jihovýchod,"32800",24848,249620,10.0458789439794
"258",CZ07,CZ,Střední Morava,"28300",16306,171697,10.5296823255243
"259",CZ08,CZ,Moravskoslezsko,"27000",9825,132155,13.4508905852417
"260",DE11,DE,Stuttgart,"59900",18485,263787,14.2703272923992
"261",DE12,DE,Karlsruhe,"48200",12080,192856,15.9649006622517
"262",DE13,DE,Freiburg,"40900",16225,163564,10.0809861325116
"263",DE14,DE,Tübingen,"47600",16346,138082,8.44744891716628
"264",DE21,DE,Oberbayern,"66600",30322,309679,10.2130136534529
"265",DE22,DE,Niederbayern,"44500",17790,140751,7.91180438448567
"266",DE23,DE,Oberpfalz,"48300",17297,132760,7.67531941955252
"267",DE24,DE,Oberfranken,"42700",13281,101663,7.65476997214065
"268",DE25,DE,Mittelfranken,"49500",12918,122404,9.47546059761573
"269",DE26,DE,Unterfranken,"45200",15262,124379,8.14958721006421
"270",DE27,DE,Schwaben,"42800",17674,160172,9.06257779789521
"271",DE30,DE,Berlin,"48700",1674,90466,54.0418160095579
"272",DE40,DE,Brandenburg,"33400",56100,354324,6.31593582887701
"273",DE50,DE,Bremen,"51700",782,35153,44.9526854219949
"274",DE60,DE,Hamburg,"75000",1474,68110,46.2075983717775
"275",DE71,DE,Darmstadt,"57100",13584,244272,17.982332155477
"276",DE72,DE,Gießen,"38700",9781,74485,7.61527451180861
"277",DE73,DE,Kassel,"41700",15280,98477,6.44482984293194
"278",DE80,DE,Mecklenburg-Vorpommern,"33400",45183,178689,3.9547838788925
"279",DE91,DE,Braunschweig,"49800",15295,130656,8.54239947695325
"280",DE92,DE,Hannover,"43100",17553,153832,8.76385802996639
"281",DE93,DE,Lüneburg,"32500",29746,128642,4.32468231022659
"282",DE94,DE,Weser-Ems,"40700",28394,209710,7.38571529196309
"283",DEA1,DE,Düsseldorf,"45200",9773,292542,29.9336948736314
"284",DEA2,DE,Köln,"46000",13778,290045,21.0513136884889
"285",DEA3,DE,Münster,"37100",13194,177935,13.4860542670911
"286",DEA4,DE,Detmold,"41400",12201,127442,10.4452094090648
"287",DEA5,DE,Arnsberg,"38200",14829,240118,16.1924607188617
"288",DEB1,DE,Koblenz,"37400",14759,131254,8.89314994240802
"289",DEB2,DE,Trier,"34400",8597,61682,7.17482842852158
"290",DEB3,DE,Rheinhessen-Pfalz,"42200",12414,180682,14.554696310617
"291",DEC0,DE,Saarland,"37300",4481,80525,17.9703191251953
"292",DED2,DE,Dresden,"35500",14781,161000,10.8923618158447
"293",DED4,DE,Chemnitz,"31600",12163,149095,12.2580777768643
"294",DED5,DE,Leipzig,"37700",7054,99721,14.1368018145733
"295",DEE0,DE,Sachsen-Anhalt,"32500",39158,317078,8.09740027580571
"296",DEF0,DE,Schleswig-Holstein,"37000",30481,208144,6.82864735408943
"297",DEG0,DE,Thüringen,"32400",29481,235015,7.97174451341542
"298",DK01,DK,Hovedstaden,"65300",5042,98775,19.5904403014677
"299",DK02,DK,Sjælland,"34300",14455,107189,7.41535800760982
